PartitionKey,RowKey,Timestamp,CreationDate,CreationDate@type,PolicyHolderId,PolicyHolderId@type,PolicyId,PolicyId@type
f83f579c2a9846eaac65c546c706cd67,4b1c6f9f10b26c9f,2017-11-25T07:26:07.926Z,2017-11-25T07:26:06.718Z,Edm.DateTime,4b1c6f9f10b26c9f,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,4c727cec27d4f192,2017-01-04T11:16:33.816Z,2017-01-04T11:16:34.087Z,Edm.DateTime,4c727cec27d4f192,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,4c8207fb12499965,2017-11-02T05:24:46.157Z,2017-11-02T05:24:45.758Z,Edm.DateTime,4c8207fb12499965,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,4e12b3bc2045713f,2017-07-03T04:28:24.635Z,2017-07-03T04:28:23.566Z,Edm.DateTime,4e12b3bc2045713f,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,4e84c4d33433c66c,2017-06-30T17:10:26.887Z,2017-06-30T17:10:27.048Z,Edm.DateTime,4e84c4d33433c66c,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,50d42929db4bc49e,2018-06-20T09:27:58.456Z,2018-06-20T09:27:58.412Z,Edm.DateTime,50d42929db4bc49e,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,51092172c0d0da2f,2017-06-23T07:48:57.790Z,2017-06-23T07:48:58.026Z,Edm.DateTime,51092172c0d0da2f,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,563424af143c1c5a,2017-02-09T05:58:01.582Z,2017-02-09T05:58:01.807Z,Edm.DateTime,563424af143c1c5a,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,5680853090ba4e3d,2018-07-24T23:26:30.135Z,2018-07-24T23:26:30.061Z,Edm.DateTime,5680853090ba4e3d,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,56d773a23ad10b4e,2017-01-11T08:13:19.256Z,2017-01-11T08:13:20.248Z,Edm.DateTime,56d773a23ad10b4e,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
