PartitionKey,RowKey,Timestamp,RequestId,RequestId@type,BatchId,BatchId@type,ContentList,ContentList@type,BatchStatus,BatchStatus@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|12637efa-952a-4b3e-a6b6-e4f8c61f94ed,6e083e1a-a02c-4afd-8a16-07d417009291,2018-05-26T10:19:17.179Z,12637efa-952a-4b3e-a6b6-e4f8c61f94ed,Edm.String,6e083e1a-a02c-4afd-8a16-07d417009291,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-26T09:57:13.034Z,Edm.DateTime,2018-05-26T09:57:13.034Z,Edm.DateTime
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|65f684fe-aba7-4d04-8dc4-0210fa3e1746,417db96f-cb98-457f-84a7-c85a9c51c27b,2018-05-26T09:55:20.690Z,65f684fe-aba7-4d04-8dc4-0210fa3e1746,Edm.String,417db96f-cb98-457f-84a7-c85a9c51c27b,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-26T09:55:14.523Z,Edm.DateTime,2018-05-26T09:55:14.523Z,Edm.DateTime
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|a44fd5e2-12a1-49e7-923b-4311ed99df3f,d85cbcc3-3e77-44df-9c9a-4ebf1541dfa4,2018-05-26T09:47:24.191Z,a44fd5e2-12a1-49e7-923b-4311ed99df3f,Edm.String,d85cbcc3-3e77-44df-9c9a-4ebf1541dfa4,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2018-05-26T09:47:24.119Z,Edm.DateTime,2018-05-26T09:47:24.119Z,Edm.DateTime
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|ac0e1181-0ad7-4bb0-8bad-b2e3b0d62c36,1d3bb472-438a-4382-9513-9402512b625a,2018-05-26T09:57:23.267Z,ac0e1181-0ad7-4bb0-8bad-b2e3b0d62c36,Edm.String,1d3bb472-438a-4382-9513-9402512b625a,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-26T09:57:14.710Z,Edm.DateTime,2018-05-26T09:57:14.710Z,Edm.DateTime
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|c7d60a40-a5d3-4280-b2d4-44f6c1bdccb8,dd8a21e1-992a-48a3-aeab-f34cc1602977,2018-05-26T09:37:10.521Z,c7d60a40-a5d3-4280-b2d4-44f6c1bdccb8,Edm.String,dd8a21e1-992a-48a3-aeab-f34cc1602977,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-26T09:37:00.832Z,Edm.DateTime,2018-05-26T09:37:00.832Z,Edm.DateTime
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|e15cf313-8d6e-4a3f-bdff-8814b8d6fdcb,dcb7cd35-dcf0-49c9-851f-ca30fd005924,2018-05-26T09:37:44.897Z,e15cf313-8d6e-4a3f-bdff-8814b8d6fdcb,Edm.String,dcb7cd35-dcf0-49c9-851f-ca30fd005924,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-26T09:36:58.967Z,Edm.DateTime,2018-05-26T09:36:58.967Z,Edm.DateTime
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|e20b3061-adc1-456e-972f-72cd944d4f66,a8ffa266-1b48-438c-becc-10bb73a20be3,2018-05-26T09:47:34.960Z,e20b3061-adc1-456e-972f-72cd944d4f66,Edm.String,a8ffa266-1b48-438c-becc-10bb73a20be3,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-26T09:47:25.652Z,Edm.DateTime,2018-05-26T09:47:25.652Z,Edm.DateTime
197eee5fc35a1637_f83f579c2a9846eaac65c546c706cd67|e702c308-42e5-4303-a0f8-f67dfa6de37f,4012c1e7-943e-4cad-a77f-681a1e361b7f,2018-05-26T09:38:22.800Z,e702c308-42e5-4303-a0f8-f67dfa6de37f,Edm.String,4012c1e7-943e-4cad-a77f-681a1e361b7f,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-26T09:38:16.853Z,Edm.DateTime,2018-05-26T09:38:16.853Z,Edm.DateTime
1986ceac339bf604_f83f579c2a9846eaac65c546c706cd67|548557c1-488f-426e-9695-a4ee28141647,9049f81b-90df-45d2-b591-c1ec8d15d58f,2016-12-15T12:06:43.962Z,548557c1-488f-426e-9695-a4ee28141647,Edm.String,9049f81b-90df-45d2-b591-c1ec8d15d58f,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2016-12-15T12:06:38.670Z,Edm.DateTime,2016-12-15T12:06:38.670Z,Edm.DateTime
1a73279556986c2c_f83f579c2a9846eaac65c546c706cd67|083cc39c-3a86-494d-b895-680508e1e9ee,421bb152-e18e-4f78-8c27-e95002a9ff9a,2018-06-12T08:21:14.944Z,083cc39c-3a86-494d-b895-680508e1e9ee,Edm.String,421bb152-e18e-4f78-8c27-e95002a9ff9a,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-06-12T08:21:06.165Z,Edm.DateTime,2018-06-12T08:21:06.165Z,Edm.DateTime
1a73279556986c2c_f83f579c2a9846eaac65c546c706cd67|d1782ac2-d092-4325-801e-abea757b9d09,9f2b41c2-1050-45eb-bd81-1d65166ff1cd,2018-06-12T08:19:35.152Z,d1782ac2-d092-4325-801e-abea757b9d09,Edm.String,9f2b41c2-1050-45eb-bd81-1d65166ff1cd,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-06-12T08:19:25.597Z,Edm.DateTime,2018-06-12T08:19:25.597Z,Edm.DateTime
1a73279556986c2c_f83f579c2a9846eaac65c546c706cd67|dc276828-d556-4c09-aef2-87570bcb4720,e082292c-1841-4661-bdb8-879de00bbf3f,2018-06-16T07:42:58.032Z,dc276828-d556-4c09-aef2-87570bcb4720,Edm.String,e082292c-1841-4661-bdb8-879de00bbf3f,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-06-16T07:42:47.416Z,Edm.DateTime,2018-06-16T07:42:47.416Z,Edm.DateTime
1a73279556986c2c_f83f579c2a9846eaac65c546c706cd67|e9482223-15c3-47b3-9c7d-bfa867f8f6b0,6fcc7b54-e94c-46be-99a6-b994b6878b82,2018-06-16T07:28:46.968Z,e9482223-15c3-47b3-9c7d-bfa867f8f6b0,Edm.String,6fcc7b54-e94c-46be-99a6-b994b6878b82,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2018-06-16T07:28:46.713Z,Edm.DateTime,2018-06-16T07:28:46.713Z,Edm.DateTime
