PartitionKey,RowKey,Timestamp,ContentId,ContentId@type,Content_ActionURL,Content_ActionURL@type,Content_B64URL,Content_B64URL@type,Content_RawURL,Content_RawURL@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|ef487c7d-fe52-4837-8824-dcb89c54e263,UserNames|Advert1,2017-07-17T10:03:50.721Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-17T10:03:50.868Z,Edm.DateTime,2017-07-17T10:03:50.868Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|f7383d49-a44b-42a0-ba78-1b39593c319f,UserNames|Advert1,2017-07-31T05:51:52.374Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-31T05:51:52.112Z,Edm.DateTime,2017-07-31T05:51:52.112Z,Edm.DateTime
2f4b60ae4665b838_f83f579c2a9846eaac65c546c706cd67|0cb37526-96f9-475a-b67f-dd63ae3556fc,UserNames|Advert1,2017-07-06T09:29:40.259Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-06T09:29:40.073Z,Edm.DateTime,2017-07-06T09:29:40.073Z,Edm.DateTime
2f4b60ae4665b838_f83f579c2a9846eaac65c546c706cd67|3e59fb0e-28c3-494d-a445-624db02615f3,UserNames|Advert1,2017-07-06T09:29:41.966Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-06T09:29:41.523Z,Edm.DateTime,2017-07-06T09:29:41.523Z,Edm.DateTime
32dbfda7ba457482_f83f579c2a9846eaac65c546c706cd67|d68e83e3-37b5-4d68-8385-707017312ae4,UserNames|Advert1,2017-06-05T16:04:05.872Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-06-05T16:04:05.746Z,Edm.DateTime,2017-06-05T16:04:05.746Z,Edm.DateTime
330eba0a1ab7188c_f83f579c2a9846eaac65c546c706cd67|c6f3f5d0-1cc2-443f-86a0-4427c7b64f42,UserNames|Advert1,2017-07-22T11:06:12.475Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-22T11:06:12.804Z,Edm.DateTime,2017-07-22T11:06:12.804Z,Edm.DateTime
330eba0a1ab7188c_f83f579c2a9846eaac65c546c706cd67|d15e4dfd-9e25-4e53-a9e2-ac5603f8965b,UserNames|Advert1,2017-07-22T11:06:14.271Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-22T11:06:15.201Z,Edm.DateTime,2017-07-22T11:06:15.201Z,Edm.DateTime
3335cff9db8e3647_f83f579c2a9846eaac65c546c706cd67|d27719b6-ab10-45ce-8d1a-0de62f1b5399,UserNames|Advert1,2017-07-11T13:08:58.955Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-11T13:08:58.318Z,Edm.DateTime,2017-07-11T13:08:58.318Z,Edm.DateTime
3335cff9db8e3647_f83f579c2a9846eaac65c546c706cd67|e78d131b-1a8b-4a61-b160-c0fd7aff70c2,UserNames|Advert1,2017-07-11T13:09:00.167Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-11T13:08:59.732Z,Edm.DateTime,2017-07-11T13:08:59.732Z,Edm.DateTime
353ea16f197dbb92_f83f579c2a9846eaac65c546c706cd67|55cbd26d-0799-42e3-ad22-d0a5329a4dfc,UserNames|Advert1,2017-07-21T14:53:54.649Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-21T14:53:55.175Z,Edm.DateTime,2017-07-21T14:53:55.175Z,Edm.DateTime
353ea16f197dbb92_f83f579c2a9846eaac65c546c706cd67|5bba1e19-3956-4aeb-b537-3698ac122187,UserNames|Advert1,2017-07-21T14:53:52.771Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-21T14:53:53.050Z,Edm.DateTime,2017-07-21T14:53:53.050Z,Edm.DateTime
